安心,AtEase,AtEase,5.6,2.4
放心,AtEase,AtEase,6.2,3.2
安慰,AtEase,AtEase,0,0
不虞,AtEase,AtEase,0,0
釋懷,AtEase,AtEase,0,0
心安,AtEase,AtEase,0,0
安,calm,AtEase,0,0
安靜,calm,AtEase,5.2,4.4
篤定,calm,AtEase,5.4,2.8
鎮定,calm,AtEase,5.4,1.8
鎮靜,calm,AtEase,0,0
靜心,calm,AtEase,0,0
沉靜,calm,AtEase,0,0
平撫,calm,AtEase,0,0
冷靜下來,calm,AtEase,0,0
平靜下來,calm,AtEase,0,0
靜下來,calm,AtEase,0,0
放不下,AtEase,AtEase,0,0
不安,uneasy,uneasy,3.8,5.4
不知所措,uneasy,uneasy,3.2,6.2
失色,uneasy,uneasy,0,0
風聲鶴唳,uneasy,uneasy,0,0
懸疑,uneasy,uneasy,0,0
忐忑不安,uneasy,uneasy,0,0
打鼓,uneasy,uneasy,0,0
侷促,uneasy,uneasy,4.0,5.6
惴惴不安,uneasy,uneasy,0,0
坐立不安,uneasy,uneasy,0,0
寢食難安,uneasy,uneasy,0,0
坐立難安,uneasy,uneasy,0,0
芒刺在背,uneasy,uneasy,0,0
忐忑,uneasy,uneasy,0,0
心神不寧,uneasy,uneasy,3.2,6.8
心神不定,uneasy,uneasy,3.2,6.6
緊張,uneasy,uneasy,3.6,7.0
人心惶惶,uneasy,uneasy,2.6,7.4
火藥味,uneasy,uneasy,0,0
患,sad,sad,0,0
慮,sad,sad,0,0
憂心忡忡,sad,sad,0,0
憂鬱,sad,sad,2.4,4.8
鬱悶,sad,sad,0,0
傷感,sad,sad,3.4,5.2
氣結,sad,sad,0,0
憂懼,sad,sad,0,0
自傷,sad,sad,0,0
憂愁,sad,sad,2.8,5.4
戚戚,sad,sad,0,0
惆悵,sad,sad,0,0
憂勞,sad,sad,3.6,5.6
擔心,worried,worried,3.4,6.6
憂慮,worried,worried,2.8,6.2
憂心,worried,worried,3.6,6.0
掛,worried,worried,0,0
擔憂,worried,worried,3.6,4.8
顧慮,worried,worried,4.2,4.6
憂,worried,worried,0,0
焦慮,worried,worried,3.2,6.4
焦,worried,worried,0,0
後顧之憂,worried,worried,0,0
焦急,worried,worried,3.0,7.0
耽心,worried,worried,0,0
